Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
130014405000036,174,54,23.684210526315788
130014405000037,85,101,54.3010752688172
130014405000038,117,30,20.408163265306122
130014405000039,57,31,35.22727272727273
130014405000040,8,4,33.33333333333333
130014405000041,0,0,NaN
130014405000042,0,0,NaN
130014405000044,0,0,NaN
130014405000045,17,3,15
130014405000050,0,0,NaN
130020105000001,134,192,58.895705521472394
130020105000002,173,83,32.421875
130020105000003,178,77,30.19607843137255
130020105000004,197,68,25.660377358490567
130020105000005,38,1,2.564102564102564
130020105000006,29,1,3.3333333333333335
130020105000007,54,7,11.475409836065573
130020105000008,67,8,10.666666666666668
130020105000009,14,0,0
130020105000010,12,1,7.6923076923076925
130020105000011,8,1,11.11111111111111
130020105000012,12,0,0
130020105000013,19,0,0
130020105000014,17,0,0
130020105000015,35,2,5.405405405405405
130020105000017,14,0,0
130020105000019,12,0,0
130020105000020,0,0,NaN
130020105000024,15,6,28.57142857142857
130020105000026,13,0,0
130020105000028,31,0,0
130020105000029,53,0,0
130020105000030,67,4,5.633802816901409
130020105000032,7,2,22.22222222222222
130020105000033,16,0,0
130020105000036,29,0,0
130020105000040,0,0,NaN
130020105000041,32,0,0
130020105000045,0,0,NaN
130020105000046,0,0,NaN
130020105000047,0,0,NaN
130020105000048,78,9,10.344827586206897
130020105000049,0,0,NaN
130020105000050,55,5,8.333333333333332
130020105000052,102,45,30.612244897959183
130020105000053,9,0,0
130020105000054,9,1,10
130020105000055,16,0,0
130020105000056,0,0,NaN
130020105000057,0,0,NaN
130020105000058,17,3,15
130020105000059,22,1,4.3478260869565215
130020105000060,5,1,16.666666666666664
130020105000061,31,3,8.823529411764707
130020105000062,25,7,21.875
130020105000063,58,4,6.451612903225806
130020105000064,25,4,13.793103448275861
130020105000065,0,0,NaN
130020105000066,25,10,28.57142857142857
130020105000067,21,1,4.545454545454546
130020105000068,94,12,11.320754716981133
130020105000069,14,6,30
130020105000070,5,4,44.44444444444444
130020105000071,16,3,15.789473684210526
130020105000072,4,3,42.857142857142854
130020105000073,5,5,50
130020105000074,0,0,NaN
130020105000075,9,3,25
130020105000076,15,11,42.30769230769231
